UniProtID,mean_Case,mean_Control,log2foldchange,p_value,t_value,,,,
P05186,13.92128004,14.2005706,-0.279290554,0.05763798,-1.927111127,,,,
P01011,21.16204526,21.29193737,-0.129892113,0.057768395,-1.918967566,,,,
P01024,22.25236103,22.37125407,-0.118893044,0.057985215,-1.916713323,,,,
Q96PD5,16.72008246,16.83524734,-0.115164878,0.058697357,-1.912916061,,,,
P02774,20.63753352,20.74194162,-0.104408102,0.059760537,-1.902966573,,,,
P07357,15.51656759,15.63723323,-0.120665632,0.063112964,-1.87844027,,,,
P61764,13.71965701,13.45544544,0.26421157,0.063271436,1.886052747,,,,
P15169,14.28425515,14.39231757,-0.108062419,0.06490952,-1.864899562,,,,
Q92954,11.66145504,11.87994383,-0.218488786,0.064980747,-1.867190627,,,,
P22792,15.46055052,15.60093164,-0.140381123,0.06600348,-1.85595193,,,,
Q02818,14.73320134,14.37464215,0.358559188,0.066407552,1.882922242,,,,
P49736,17.84108525,17.47934115,0.361744097,0.066593877,1.853208621,,,,
Q9NZ08,10.68452631,11.06564297,-0.38111666,0.06825096,-1.909613902,,,,
P35900,9.551962554,9.691359735,-0.139397181,0.069649973,-1.830691933,,,,
P22692,11.46478806,11.33030604,0.134482016,0.069954755,1.835951194,,,,
P12429,13.30331383,12.99724026,0.306073563,0.070577577,1.83005915,,,,
P04424,14.38388872,13.35180783,1.032080894,0.072125164,1.875423395,,,,
P54578,16.93840931,16.356774,0.581635307,0.072675293,1.811425745,,,,
Q7Z3U7,19.93694708,20.05014845,-0.113201378,0.072900588,-1.810730476,,,,
O15145,13.27319106,13.45117548,-0.177984421,0.07380871,-1.824406062,,,,
Q15029,14.09079903,13.9616108,0.129188226,0.073894435,1.805772629,,,,
P22314,13.17550643,12.9887481,0.186758325,0.074930021,1.828412043,,,,
Q9UKV8,9.143913453,8.778511141,0.365402312,0.076799718,1.807451996,,,,
Q14126,10.38008149,10.26175536,0.118326139,0.079487963,1.779633799,,,,
P00450,19.85985402,19.96980715,-0.10995313,0.080607885,-1.764330466,,,,
Q13103,11.31520529,11.13760835,0.177596945,0.081042537,1.763678473,,,,
P47897,10.05586077,10.33399474,-0.27813397,0.083167868,-1.773126024,,,,
Q9UDT6,14.68171756,14.82603181,-0.144314252,0.083914353,-1.748516029,,,,
P49368,15.79884373,15.40185507,0.39698866,0.085875724,1.73645655,,,,
P04275,11.99415372,12.29914695,-0.30499323,0.086837473,-1.731084481,,,,
P00739,12.38727231,12.14408479,0.243187525,0.090112845,1.711002786,,,,
Q9UHG3,11.86664734,11.69933032,0.167317013,0.090940527,1.705969484,,,,
P0C0L5,15.83072463,16.156615,-0.325890371,0.092871917,-1.695978753,,,,
Q9UBR2,9.527251181,9.330549137,0.196702044,0.09410974,1.736647683,,,,
P07858,10.96305047,11.19753091,-0.234480438,0.094193832,-1.726157657,,,,
P05452,14.76014879,14.88602373,-0.125874942,0.094339121,-1.690501396,,,,
Q8IZ83,12.84971272,12.94754385,-0.097831129,0.096896968,-1.676157275,,,,
P28070,17.50053835,16.92344679,0.577091554,0.097507573,1.683308745,,,,
P49327,18.52945699,18.68856332,-0.159106327,0.098294552,-1.673124623,,,,
P35908,6.696806501,7.4134308,-0.7166243,0.099628891,-1.688227328,,,,
Q96KN2,12.88795268,13.06927762,-0.181324947,0.100228192,-1.65761157,,,,
P08195,14.94677541,14.83128998,0.115485428,0.100715381,1.669483677,,,,
Q9UGM5,12.77923643,12.88304997,-0.103813546,0.100875676,-1.65592116,,,,
Q99714,11.74287934,11.5973506,0.145528736,0.101105227,1.656133583,,,,
O75882,14.98611756,15.07079421,-0.084676642,0.102253106,-1.648069628,,,,
P82979,13.54728046,13.3030514,0.244229061,0.103348422,1.662018044,,,,
Q14146,12.6930372,12.49111623,0.201920966,0.104629191,1.658968293,,,,
P26038,13.94597003,14.11585027,-0.169880233,0.106355335,-1.63930524,,,,
P31939,15.55475258,15.70349266,-0.148740077,0.106431411,-1.638880129,,,,
Q9Y3I0,15.59777432,15.41600038,0.181773938,0.107155003,1.648542291,,,,
P18065,8.227244513,7.509433807,0.717810706,0.113083242,1.605034795,,,,
O15394,13.63424655,13.26387903,0.370367514,0.113111948,1.626247183,,,,
P35579,12.72950389,12.85811432,-0.128610436,0.116327266,-1.586677554,,,,
P50440,10.47587067,10.70349414,-0.227623471,0.116678682,-1.588628904,,,,
P06681,14.96280945,15.04603107,-0.083221621,0.11669255,-1.581062806,,,,
P48681,15.86987861,16.05725512,-0.18737651,0.11752196,-1.605309085,,,,
Q03154,15.22397156,14.68550675,0.538464811,0.118493016,1.580339372,,,,
P46821,6.927954703,7.512175839,-0.584221137,0.11919956,-1.574856176,,,,
P19320,14.81184251,14.95451889,-0.14267638,0.119686826,-1.570884403,,,,
Q04756,12.35862016,12.60438297,-0.245762805,0.119812551,-1.569692511,,,,
O60664,10.22162376,9.966787107,0.254836655,0.120833433,1.582030704,,,,
P51570,10.94888344,11.23303205,-0.284148616,0.123270335,-1.572438416,,,,
P29508,10.0391391,9.686273409,0.35286569,0.123721545,1.568712384,,,,
P01034,12.60552252,12.45575694,0.149765577,0.126273914,1.54194503,,,,
O60610,13.1525321,13.31773929,-0.165207189,0.130128184,-1.544970209,,,,
Q7Z794,12.10751112,11.65738607,0.450125047,0.13124487,1.537644381,,,,
P52209,15.69157862,15.78213397,-0.090555351,0.132206781,-1.517431223,,,,
P12109,12.75437843,12.99467462,-0.240296183,0.133730346,-1.513540686,,,,
Q6P179,17.02766611,17.18454218,-0.156876071,0.135348918,-1.509831525,,,,
P00747,18.78012613,18.86592911,-0.08580298,0.136434722,-1.500273662,,,,
P12830,13.44747441,13.97820724,-0.530732831,0.138042863,-1.494508784,,,,
Q6UX04,14.91531993,15.04280728,-0.12748735,0.13916326,-1.49642245,,,,
P02042,16.35239696,16.56457546,-0.212178495,0.140026798,-1.511703861,,,,
P25789,13.15591189,13.50623683,-0.350324942,0.141273622,-1.503747939,,,,
Q14012,12.35678656,11.86765122,0.489135342,0.141944605,1.52630928,,,,
P02746,13.39201098,13.49341184,-0.101400856,0.143318735,-1.473666959,,,,
Q09666,20.399995,20.54969237,-0.149697367,0.144165988,-1.485851708,,,,
P51884,16.89423154,17.00935708,-0.115125548,0.147192836,-1.460956336,,,,
P01137,11.30832873,11.0488635,0.259465229,0.149234808,1.466372337,,,,
P48740,12.16613612,12.30463032,-0.138494196,0.149502754,-1.452078842,,,,
